question,prompt_used,target_answer,predicted_answer,is_correct,latency_ms,subject,emotion
"Proposed legislation was offered to a state legislature that would reorganize the state police. The bill created a great deal of controversy, both in and outside the state government. Several leaders of the minority party in the legislature decided to oppose the legislation. One member of the minority party disagreed with his party's opposition to the bill and publicly announced his support for the legislation. The minority party leaders called a caucus to discuss and determine their legislative strategy for floor debate on the bill. When the disagreeing member appeared at the door of the caucus room, he was denied admission because of his anti-party stance. He was also informed that he would be removed from all of his committee assignments. During the caucus, the party members discussed other means of disciplining the member for his party insubordination. It was suggested that they issue a press release in which the party would publicly castigate him for his actions. The leader of the party said that ""the member is a cutthroat politician who is only looking out for where his next buck will come from. ""Which of the following constitutional provisions would give the ousted member his best grounds for challenging his exclusion from the party caucus?","Question: Proposed legislation was offered to a state legislature that would reorganize the state police. The bill created a great deal of controversy, both in and outside the state government. Several leaders of the minority party in the legislature decided to oppose the legislation. One member of the minority party disagreed with his party's opposition to the bill and publicly announced his support for the legislation. The minority party leaders called a caucus to discuss and determine their legislative strategy for floor debate on the bill. When the disagreeing member appeared at the door of the caucus room, he was denied admission because of his anti-party stance. He was also informed that he would be removed from all of his committee assignments. During the caucus, the party members discussed other means of disciplining the member for his party insubordination. It was suggested that they issue a press release in which the party would publicly castigate him for his actions. The leader of the party said that ""the member is a cutthroat politician who is only looking out for where his next buck will come from. ""Which of the following constitutional provisions would give the ousted member his best grounds for challenging his exclusion from the party caucus?

Options:
A. The equal protection clause of the Fourteenth Amendment.
B. The right of assembly as guaranteed by the First Amendment.
C. The speech and debate clause.
D. The due process clause of the Fourteenth Amendment.

Respond ONLY with one letter.
Valid answers: A, B, C or D.
Answer:",3,B.,False,25585.86,professional_law,original
"In an epidemiological context, what is the population at risk?
","Question: In an epidemiological context, what is the population at risk?


Options:
A. The proportion of a population that engage in risky behaviours.
B. The group of people that may experience the outcome we want to study.
C. A group of people participating in a study that may be harmful to them.
D. The population group with the highest relative risk of disease.

Respond ONLY with one letter.
Valid answers: A, B, C or D.
Answer:",1,B,True,6715.85,nutrition,original
Which of the following is consistent with results of current research conducted in the area of gender roles and the workplace?,"Question: Which of the following is consistent with results of current research conducted in the area of gender roles and the workplace?

Options:
A. In about a quarter of households with children, men stay home with the children so their wives can work.
B. Most women believe that there is equal opportunity today between men and women in career choice, advancement, and income.
C. Most men believe that women should be homemakers because men earn more money.
D. Most men married to working women do not share housework and childcare obligations equally with their working wives.

Respond ONLY with one letter.
Valid answers: A, B, C or D.
Answer:",3,D,True,6933.03,sociology,original
"A reading specialist in a large public school system believes that the more time students spend reading, the better they will do in school. She plans a middle school experiment in which an SRS of 30 eighth graders will be assigned four extra hours of reading per week, an SRS of 30 seventh graders will be assigned two extra hours of reading per week, and an SRS of 30 sixth graders with no extra assigned reading will be a control group. After one school year, the mean GPAs from each group will be compared. Is this a good experimental design?","Question: A reading specialist in a large public school system believes that the more time students spend reading, the better they will do in school. She plans a middle school experiment in which an SRS of 30 eighth graders will be assigned four extra hours of reading per week, an SRS of 30 seventh graders will be assigned two extra hours of reading per week, and an SRS of 30 sixth graders with no extra assigned reading will be a control group. After one school year, the mean GPAs from each group will be compared. Is this a good experimental design?

Options:
A. Yes.
B. No, because while this design may point out an association between reading and GPA, it cannot establish a cause-and-effect relationship.
C. No, because without blinding, there is a strong chance of a placebo effect.
D. No, because grade level is a lurking variable which may well be confounded with the variables under consideration.

Respond ONLY with one letter.
Valid answers: A, B, C or D.
Answer:",3,B,False,17543.66,high_school_statistics,original
 An imbalance between a consumer's actual and desired state in which recognition that a gap or problem needs resolving is called:,"Question:  An imbalance between a consumer's actual and desired state in which recognition that a gap or problem needs resolving is called:

Options:
A. Motive development.
B. An attitude.
C. A self-concept.
D. Product evaluation.

Respond ONLY with one letter.
Valid answers: A, B, C or D.
Answer:",0,D.,False,4879.27,marketing,original
Which of the following best describes the 'Orient' according to Edward Said?,"Question: Which of the following best describes the 'Orient' according to Edward Said?

Options:
A. The Orient is a constructed subject that is imagined as inferior, irrational, and backward, in comparison to the West.
B. The Orient is a geographical term once used to describe the east Asia.
C. The Orient is an imagined concept that must be rejected by scholars in order to analyse security.
D. Where there is an imbalance of power, the Orient is the dominant intellectual force or otherwise superior party.

Respond ONLY with one letter.
Valid answers: A, B, C or D.
Answer:",0,A.,True,7482.52,security_studies,original
"Two cars were driving within the legal speed limit as they approached an intersection. There are no traffic lights, stop signs, or warnings posted at this intersection. Both vehicles entered the intersection simultaneously and collided. In the accident, one of the drivers suffered a broken pelvis and internal injuries. Although the other driver's truck was slightly damaged, he did not suffer any physical injuries. Thereafter, the injured driver sued the city for negligence, claiming that the city failed to provide adequate warning at the intersection, which she contended was particularly dangerous and heavily traveled. At trial, the city attorney offers evidence that the intersection has been the same for 14 years, and no other accidents have occurred during that time. Upon objection by the injured driver's attorney, this evidence should be","Question: Two cars were driving within the legal speed limit as they approached an intersection. There are no traffic lights, stop signs, or warnings posted at this intersection. Both vehicles entered the intersection simultaneously and collided. In the accident, one of the drivers suffered a broken pelvis and internal injuries. Although the other driver's truck was slightly damaged, he did not suffer any physical injuries. Thereafter, the injured driver sued the city for negligence, claiming that the city failed to provide adequate warning at the intersection, which she contended was particularly dangerous and heavily traveled. At trial, the city attorney offers evidence that the intersection has been the same for 14 years, and no other accidents have occurred during that time. Upon objection by the injured driver's attorney, this evidence should be

Options:
A. admitted as relevant evidence of a fact of consequence to the action.
B. admitted, provided that the jury is instructed about the danger of inferential negative evidence.
C. excluded, because it is improper negative evidence.
D. excluded, because the dangers of unfair prejudice and confusion of the issues may tend to mislead the jury.

Respond ONLY with one letter.
Valid answers: A, B, C or D.
Answer:",0,D.,False,19145.39,professional_law,original
"A doctor was the owner of 1,500 acres of undeveloped timberland. In September 1989, the doctor executed a warranty deed conveying the timberland property to a dentist in fee simple. The dentist recorded immediately in the Grantor Grantee Index. Then in April 1990, the dentist conveyed the same tract to a buyer in fee simple by warranty deed. The buyer paid full market value and recorded the deed at once in the Grantor Grantee Index. The land in question had never been occupied, fenced, or cleared except that between the years 1986 2010, a mining company, one mile from the property, regularly drove trucks over a cleared path pursuant to a 1986 agreement with the doctor. The agreement, which was duly recorded, provided that ""the parties expressly agree and the doctor promises that the doctor and his successors shall refrain from obstructing the said described pathway across the doctor's land, which the mining company and its successors may perpetually use as a road, in consideration of which the mining company and its successors will pay the sum of $700 per annum. ""In 1990, after the conveyance from the dentist, the buyer informed the mining company that he would no longer honor the 1986 agreement permitting the mining company to use the pathway. The mining company brought an action for specific performance. Judgment should be for","Question: A doctor was the owner of 1,500 acres of undeveloped timberland. In September 1989, the doctor executed a warranty deed conveying the timberland property to a dentist in fee simple. The dentist recorded immediately in the Grantor Grantee Index. Then in April 1990, the dentist conveyed the same tract to a buyer in fee simple by warranty deed. The buyer paid full market value and recorded the deed at once in the Grantor Grantee Index. The land in question had never been occupied, fenced, or cleared except that between the years 1986 2010, a mining company, one mile from the property, regularly drove trucks over a cleared path pursuant to a 1986 agreement with the doctor. The agreement, which was duly recorded, provided that ""the parties expressly agree and the doctor promises that the doctor and his successors shall refrain from obstructing the said described pathway across the doctor's land, which the mining company and its successors may perpetually use as a road, in consideration of which the mining company and its successors will pay the sum of $700 per annum. ""In 1990, after the conveyance from the dentist, the buyer informed the mining company that he would no longer honor the 1986 agreement permitting the mining company to use the pathway. The mining company brought an action for specific performance. Judgment should be for

Options:
A. the mining company, because their property interest would ""run with the land. ""
B. the mining company, because the possessor of a servient interest would prevail against subsequent owners.
C. the buyer, because the mining company's interest was extinguished by the subsequent conveyance.
D. the buyer, because there was no privity of estate between the buyer and the mining company.

Respond ONLY with one letter.
Valid answers: A, B, C or D.
Answer:",0,C,False,44377.14,professional_law,original
Who is an archenemy of the cartoon superhero Underdog?,"Question: Who is an archenemy of the cartoon superhero Underdog?

Options:
A. OverCat
B. Muttley
C. Mr Whoopie
D. Dick Dastardly

Respond ONLY with one letter.
Valid answers: A, B, C or D.
Answer:",0,D,False,4002.64,miscellaneous,original
The case study of Phineas Gage's brain injury was significant for which of the following reasons?,"Question: The case study of Phineas Gage's brain injury was significant for which of the following reasons?

Options:
A. Gage's accident was one of the first to be treated with drugs that alter the neurotransmitters in the brain.
B. It was one of the first well-documented examples of a specific brain area being associated with a set of physical and emotional changes.
C. This accident provided psychiatrists with one of the first opportunities to treat a brain-damaged patient with psychotherapeutic techniques.
D. The CAT scan was used for the first time in the Phineas Gage case to document the extent of brain injury.

Respond ONLY with one letter.
Valid answers: A, B, C or D.
Answer:",1,B,True,8420.83,high_school_psychology,original
